Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
NiYO Solutions,Finance,Series A,13200000,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018-01-01
Hippo Video,Customer Service,Seed,3000000,Chennai,A video recording and sharing software.,2018-01-01
Satvacart,E-Commerce,Seed,3000000,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,2018-01-01
Daaki,Health Care,Angel,3000000,Bangalore,Sports Nutrition startup,2018-01-01
Simulanis,Training,Seed,500000,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018-01-01
MY CHIRAAG CAB,Travel,Seed,1000000,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,2018-01-01
WOTU,Food And Beverage,Seed,3000000,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,2018-01-01
Flathalt,Fintech,Angel,50000,Gurgaon,FInd your Customized Home here.,2018-01-01
True Elements,Dietary Supplements,Seed,50000000,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018-01-01
Trendlyne Technologies,Financial Services,Seed,200000,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018-01-01
Planys Technologies,Manufacturing,Series A,140200000,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018-01-01
HealthPlix,Fitness,Series A,3000000,Bangalore,HealthPlix is a healthtech startup,2018-01-01
dishq,Fintech,Seed,400000,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018-01-01
Entropik Technology,Artificial Intelligence,Seed,1100000,Bengaluru,The boundaries between Human and Machines are shrinking fast.,2018-01-01
myHQ,Collaboration,Series A,500000,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018-01-01
Trell,Fintech,Seed,1250000,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018-01-01
Kidovators (by GyanLab),Big Data,Seed,180000,Bangalore,Building future human capital through 21st Century Skills programs for K-12,2018-01-01
Log 9 Materials,Nanotechnology,Seed,30000000,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,2018-01-01
VTION,Analytics,Seed,19200000,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018-01-01
HousingMan.com,Fintech,Seed,103000000,Bengaluru,"New Apartments, Flats for Sale in Bangalore",2018-01-01
Steradian Semiconductors,Fintech,Seed,3000000,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,2018-01-01
RupeeCircle,Financial Services,Seed,40000000,Mumbai,RupeeCircle is a new age finance company.,2018-01-01
Wooden Street,E-Commerce,Series A,1000000,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018-01-01
The Ken,Digital Media,Series A,1500000,Bengaluru,The Ken is India’s first subscriptions-only business news site,2018-01-01
SaffronStays,Fintech,Seed,2000000,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2018-01-01
Vebbler,File Sharing,Seed,3000000,Bengaluru,A personal network for close people,2018-01-01
Foyr,Home Decor,Series A,4200000,Pune,"Foyr.com is India's first online, automated interior designer",2018-01-01
MEngage,Health Care,Seed,175000,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018-01-01
Inner Being Wellness,Fintech,Angel,35000000,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",2018-01-01
Kobster,E-Commerce,Seed,3000000,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,2018-01-01
Wishberry,Crowdfunding,Series A,100000000,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,2018-01-01
McXtra,Finance,Seed,1300000,Andheri,McXtra is a digital insurance broking startup.,2018-01-01
Magic Crate,Children,Seed,3000000,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",2018-01-01
SmartVizX,Software,Seed,1450000,Noida,It is a Virtual Reality Solutions StartUp,2018-01-01
MySEODoc,Fintech,Seed,3000000,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",2018-01-01
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Fintech,Seed,200000,Pune,Digital Marketing Agency,2018-01-01
Scale Labs,Fintech,Seed,1000000,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018-01-01
HungerBox,B2B,Series A,4500000,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018-01-01
Biryani By Kilo,Catering,Seed,1000000,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018-01-01
Wholesome Habits (EAT Anytime),Food And Beverage,Seed,500000,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018-01-01
GoBumpr,Automotive,Seed,600000,Mylapore,Car Service and Bike Service Mobile App,2018-01-01
Fixpocket,Computer,Seed,250000,Ahmedabad,Fixpocket is a internet-based startup.,2018-01-01
edureka!,Android,Series A,2000000,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2018-01-01
Hashtag Loyalty Private Limited,Analytics,Seed,3000000,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,2018-01-01
Wow Express,Delivery,Series A,4500000,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",2018-01-01
ZunRoof,Environmental Consulting,Angel,16600000,Gurgaon,ZunRoof is a rooftop focused solar startup.,2018-01-01
Eggoz,Food And Beverage,Angel,12000000,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,2018-01-01
Sqrrl Fintech,Big Data,Seed,1000000,Gurgaon,Personal Finance,2018-01-01
GalaxyCard,Finance,Seed,3000000,Noida,GalaxyCard is a mobile based Instant credit card.,2018-01-01
IndiQube,Commercial Real Estate,Series A,15000000,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,2018-01-01
EGK Foods,Food And Beverage,Seed,20000000,Mumbai,A food processing enterprise registered with StartUp India .,2018-01-01
NirogStreet,Apps,Seed,300000,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2018-01-01
Pixr8,Digital Media,Seed,50000,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,2018-01-01
Nivesh.com,Finance,Seed,30000000,Noida,Nivesh.com is a mass market mutual funds investment platform.,2018-01-01
Theranosis Life Sciences,Biotechnology,Seed,3000000,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,2018-01-01
Poshmiles Online Solutions Private Limited,Travel,Seed,3000000,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,2018-01-01
Reculta,Education,Seed,3000000,Noida,A campus recruitment solution provider.,2018-01-01
Orbo.ai,Internet,Seed,3000000,Mumbai,Orbo is a computer vision and deep facial technology company.,2018-01-01
Inntot Technologies,Consumer Electronics,Seed,3000000,Kochi,"Inntot Technologies, is a technology driven company.",2018-01-01
Zoctr Health,Apps,Seed,3000000,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,2018-01-01
Hey Deedee,Delivery Service,Seed,33000000,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,2018-01-01
DigiConnectt Technologys,Information Services,Seed,125000,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,2018-01-01
Locus.sh,Big Data,Series A,4000000,Bangalore,Locus is an intelligent logistics automation platform.,2018-01-01
Sports Flashes Pvt. Ltd,Basketball,Seed,1000000,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018-01-01
Inc42,Media And Entertainment,Seed,3000000,New Delhi,Inc42 is one of the leading tech media publications of India.,2018-01-01
Picxy,Internet,Seed,130000,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",2018-01-01
Huddle,Consulting,Seed,300000,Haryana,A coworking incubator Company.,2018-01-01
Benepik,Human Resources,Seed,3000000,Gurgaon,HR Technology start-up.,2018-01-01
Cash Suvidha,Finance,Seed,1000000,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,2018-01-01
Smartcoin,Big Data,Seed,2000000,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,2018-01-01
Carmel Organics,Agriculture,Series A,3000000,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",2018-01-01
Roadcast,Fintech,Angel,250000,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,2018-01-01
Printline Media(ThePrint),Digital Media,Seed,34900000,New Delhi,A digital news platform.,2018-01-01
Creditas Solutions,Financial Services,Seed,3000000,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,2018-01-01
UrbanPiper,Software,Seed,3000000,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,2018-01-01
Doxper,Health Care,Seed,72000000,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,2018-01-01
i2ifunding,Crowdfunding,Angel,50000000,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,2018-01-01
ShakeDeal,B2B,Seed,3000000,Bangalore,Home of B2B Commerce,2018-01-01
HelloVerify,Fraud Detection,Seed,3000000,Noida,HelloVerify is an online background check platform.,2018-01-01
Fasal,Agriculture,Seed,120000,Bengaluru,Climate Smart Precision Agriculture Platform,2018-01-01
CoinGeto,Cryptocurrency,Seed,120000000,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,2018-01-01
Avail Finance,Finance,Series A,17200000,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,2018-01-01
Tripeur,Information Technology,Seed,600000,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,2018-01-01
Wedeterna,Wedding,Angel,3000000,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",2018-01-01
Stumagz,Digital Media,Seed,3000000,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,2018-01-01
Doubtnut,E-Learning,Seed,35000000,Gurgaon,Gurgaon based E-learning platform.,2018-01-01
MCaffeine,Consumer Goods,Seed,32000000,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,2018-01-01
TrustCheckr,Information Technology,Angel,100000,Bengaluru,A Bengaluru-based fraud analytics solution provider .,2018-01-01
HealthAssure,Fitness,Seed,1000000,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,2018-01-01
Picture TIme,Digital Entertainment,Seed,250000000,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,2018-01-01
1Crowd,Crowdsourcing,Angel,3500000,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,2018-01-01
Aarav Unmanned Systems,Delivery,Seed,3000000,Bangalore,Professional Drones for Enterprise Applications,2018-01-01
Wellthy Therapeutics Pvt Ltd,Health Care,Seed,135000000,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",2018-01-01
Nua,Consumer Goods,Seed,3000000,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,2018-01-01
Kuvera.in,Financial Services,Angel,250000,Bangalore,An online platform for mutual fund investments.,2018-01-01
Livehealth,Health Care,Seed,1100000,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,2018-01-01
